kepid,kepoi_name,koi_disposition,koi_period,koi_duration,koi_depth,koi_num_transits,koi_model_snr,koi_prad,koi_teq,koi_insol,koi_steff,koi_slogg,koi_srad,koi_smass,koi_kepmag,ra,dec
11187436,K01804.01,CONFIRMED,5.90741476,1.016,5569.0,232.0,7.2,5.1,769.0,82.73,4963.0,4.585,0.69,0.667,15.625,290.15634,48.818989
11285136,K01774.01,FALSE POSITIVE,2.368173896,2.346,10143.0,430.0,52.9,10.92,1428.0,983.51,5944.0,4.393,0.991,0.886,15.533,284.86145,49.026989
11298815,K02015.01,FALSE POSITIVE,5.73865933,4.051,688.6,229.0,40.1,1.84,535.0,19.33,3841.0,4.756,0.509,0.538,15.51,292.8053,49.040459
11342573,K01771.01,FALSE POSITIVE,91.05641908,6.7282,57607.6,12.0,701.1,53.1,431.0,8.13,6142.0,4.456,1.046,1.143,15.959,287.66364,49.141499
7134626,K07818.01,CANDIDATE,2.52443998,2.369,45.8,536.0,10.6,1.53,2145.0,4998.98,6461.0,3.846,2.225,1.266,13.063,296.40149,42.651058
9823519,K02793.01,CONFIRMED,4.49686066,1.7306,1932.5,114.0,37.0,1.93,535.0,19.34,3698.0,4.81,0.444,0.464,16.283,288.25058,46.679611
11246161,K02796.01,CANDIDATE,0.5374094,1.2039,94.2,1246.0,21.9,0.96,2208.0,5646.82,5749.0,4.457,0.988,1.02,14.832,292.87418,48.936569
7047824,K02806.01,CONFIRMED,24.7543849,3.39,593.3,55.0,18.0,2.1,491.0,13.7,4852.0,4.519,0.804,0.778,15.514,295.73535,42.576248
4479633,K02814.01,FALSE POSITIVE,0.475068516,0.8552,110.1,1129.0,21.4,1.03,2372.0,7444.39,6045.0,4.494,0.955,1.038,14.255,295.51825,39.593391
4952341,K02818.01,FALSE POSITIVE,1.79683793,7.911,223.3,753.0,27.9,3.37,2397.0,7783.32,7592.0,4.159,1.714,1.545,13.613,298.5798,40.072182
8176019,K02843.01,FALSE POSITIVE,187.51251276,8.05,,,,,,,,,,,15.711,295.26447,44.09856
5385491,K03988.01,FALSE POSITIVE,12.425484,28.0218,117.2,114.0,43.0,1.55,773.0,84.37,5478.0,4.351,1.017,0.845,13.585,297.59946,40.55901
11358389,K02163.02,CONFIRMED,17.7838298,3.997,247.1,76.0,18.7,1.6,729.0,66.87,6014.0,4.436,1.021,1.037,14.651,295.62659,49.130428
5551504,K03989.01,FALSE POSITIVE,1.204529346,1.62,86.9,1108.0,11.1,1.4,1968.0,3561.16,5340.0,4.046,1.504,0.917,14.259,296.55164,40.71278
6421503,K03990.01,FALSE POSITIVE,2.15839583,8.09,352.2,482.0,38.9,14.28,1103.0,350.53,5272.0,4.659,0.662,0.732,15.239,283.0527,41.859711
10352333,K03991.01,CANDIDATE,1.570592397,0.623,214.4,680.0,29.7,1.37,1480.0,1135.98,5519.0,4.431,0.921,0.837,13.14,296.50354,47.486919
7538434,K07841.01,FALSE POSITIVE,371.1495,15.855,597.3,4.0,11.5,2.07,245.0,0.85,5988.0,4.541,0.836,0.885,15.342,294.80182,43.13324
10487119,K01635.01,FALSE POSITIVE,3.374684854,4.48335,80917.0,131.0,658.3,49.25,1163.0,432.73,5754.0,4.514,0.943,1.061,15.746,297.66129,47.62394
10621666,K01636.01,FALSE POSITIVE,2.61841046,3.304,180.2,411.0,24.8,1.12,1245.0,567.24,5912.0,4.566,0.82,0.908,14.598,299.06693,47.895191
10747439,K01638.01,FALSE POSITIVE,4.593594819,2.6391,1455.2,229.0,83.5,8.85,1125.0,378.37,6075.0,4.486,0.969,1.048,14.455,297.46457,48.088001
10749128,K01639.01,FALSE POSITIVE,125.0426,8.99,104.3,,6.4,1.2,416.0,7.06,6273.0,4.364,1.139,1.092,13.538,297.90045,48.0947
10813841,K01640.01,FALSE POSITIVE,6.17039154,2.116,502.9,142.0,19.0,2.17,1029.0,264.63,6137.0,4.487,0.963,1.038,15.406,297.66211,48.115898
10879656,K01642.01,FALSE POSITIVE,0.364860478,1.4736,112.6,1466.0,23.5,0.68,1993.0,3703.08,5220.0,4.622,0.642,0.63,14.823,298.39774,48.212318
12253474,K01947.01,CANDIDATE,6.422943288,1.0815,261.4,205.0,30.6,1.66,1034.0,269.8,6102.0,4.447,1.016,1.049,12.335,288.63483,50.912231
12691412,K01983.01,FALSE POSITIVE,6.90522317,3.533,420.3,84.0,34.4,4.54,1343.0,768.55,6596.0,4.135,1.721,1.474,13.502,290.28619,51.834026
5024482,K02041.01,FALSE POSITIVE,1.5259105,3.114,83.9,700.0,14.3,2.63,2545.0,9917.8,6640.0,3.884,2.099,1.231,12.203,295.32501,40.187576
8175131,K02139.01,FALSE POSITIVE,4.27121961,2.9283,966.7,266.0,38.0,2.17,802.0,97.84,4702.0,4.602,0.67,0.654,15.938,295.00293,44.09203
3764879,K02141.01,CANDIDATE,1.306984786,1.194,302.1,817.0,38.4,18.33,1754.0,2230.29,6102.0,4.457,1.026,1.099,14.024,295.77194,38.820042
7177766,K07819.01,FALSE POSITIVE,0.769358923,1.5364,44.8,1740.0,19.8,1.93,2928.0,17335.4,5267.0,3.655,2.935,1.42,12.055,283.11136,42.76107
5513897,K02591.01,FALSE POSITIVE,0.755109106,2.967,106.0,1376.0,34.0,0.85,1733.0,2130.82,5452.0,4.572,0.815,0.91,13.974,284.37183,40.712971
10664416,K02599.01,FALSE POSITIVE,25.3239215,70.405,1379.7,56.0,214.5,19.02,484.0,12.94,5128.0,4.6,0.668,0.647,14.856,291.40079,47.924629
9602613,K02612.01,CONFIRMED,4.61225043,2.695,29.1,228.0,13.7,0.51,1032.0,268.27,5495.0,4.442,0.961,0.932,11.83,297.14883,46.296951
5807769,K02614.01,CONFIRMED,7.99022379,3.273,165.9,171.0,17.6,1.97,1113.0,361.73,5689.0,4.065,1.542,1.007,14.59,296.38882,41.040569
11495766,K02630.01,FALSE POSITIVE,4.1749166,4.828,40.7,,11.8,0.61,1116.0,366.59,5910.0,4.505,0.94,1.032,13.391,285.22531,49.424179
7282154,K07830.01,FALSE POSITIVE,0.56678694,1.959,61.2,2009.0,8.3,0.63,1920.0,3194.49,5341.0,4.496,0.808,0.747,15.817,291.82501,42.866508
3228988,K03992.01,FALSE POSITIVE,0.73094701,4.223,227.7,1833.0,31.2,15.83,1870.0,2886.66,5767.0,4.559,0.837,0.927,15.312,289.80423,38.370708
2970804,K03993.01,FALSE POSITIVE,0.686994057,3.5252,2797.1,1952.0,136.6,35.3,2063.0,4267.13,5780.0,4.438,1.0,1.0,9.16,286.10696,38.107628
7552701,K03994.01,FALSE POSITIVE,1.324247867,1.4759,83.3,1015.0,26.5,1.3,2140.0,4951.46,6557.0,4.251,1.406,1.287,13.869,298.0513,43.164909
7418173,K03995.01,FALSE POSITIVE,0.780632043,1.4109,736.5,1716.0,141.0,79.67,2714.0,12837.08,5354.0,3.754,2.18,0.985,13.331,281.57571,43.068111
3228804,K03996.01,FALSE POSITIVE,0.730947169,4.396,248.0,1831.0,49.1,14.43,1777.0,2349.48,5514.0,4.569,0.826,0.926,15.01,289.76114,38.353519
11045383,K01645.01,FALSE POSITIVE,41.16676097,2.2133,5386.3,26.0,185.2,17.82,446.0,9.35,5193.0,4.503,0.805,0.753,13.418,298.21094,48.559158
11391667,K01652.01,FALSE POSITIVE,1.083736642,1.57912,8930.8,1969.0,954.2,237.84,3641.0,41465.78,5591.0,3.227,5.618,1.942,12.923,285.30206,49.263451
11392017,K01653.01,FALSE POSITIVE,2.45570369,3.1,273.8,434.0,23.5,55.95,1891.0,3017.14,5148.0,3.624,2.314,0.822,13.39,285.53549,49.298439
